"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-11-16","MI","A+",8431,8049,55,382,,,3580,0,,749,5519516,102724,,,5519516,,343,288954,264576,13162,0,,,,,344540,138862,,0,5808470,115886,347813,,,,,0,5864056,117843
"2020-11-15","MI","A+",8376,7994,0,382,,,3241,0,,660,5416792,0,,,5416792,,272,275792,251813,0,0,,,,,329421,138862,,0,5692584,0,346627,,,,,0,5746213,0
"2020-11-14","MI","A+",8376,7994,68,382,,,3241,0,,660,5416792,62002,,,5416792,,272,275792,251813,7430,0,,,,,329421,138862,,0,5692584,69432,346627,,,,,0,5746213,72021
"2020-11-13","MI","A+",8308,7929,123,379,,,3241,0,,660,5354790,64181,,,5354790,,272,268362,244741,9179,0,,,,,319402,128981,,0,5623152,73360,344502,,,,,0,5674192,74496
"2020-11-12","MI","A+",8185,7811,49,374,,,3209,0,,628,5290609,60005,,,5290609,,253,259183,236225,7311,0,,,,,309087,128981,,0,5549792,67316,343088,,,,,0,5599696,68512
"2020-11-11","MI","A+",8136,7766,42,370,,,3093,0,,604,5230604,48231,,,5230604,,263,251872,229285,6620,0,,,,,300580,128981,,0,5482476,54851,341946,,,,,0,5531184,56015
"2020-11-10","MI","A+",8094,7724,86,370,,,2959,0,,595,5182373,52371,,,5182373,,257,245252,223277,6944,0,,,,,292796,128981,,0,5427625,59315,339921,,,,,0,5475169,61281
"2020-11-09","MI","A+",8008,7640,63,368,,,2815,0,,544,5130002,145044,,,5130002,,239,238308,216804,9305,0,,,,,283886,128981,,0,5368310,154349,339100,,,,,0,5413888,87225
"2020-11-08","MI","A+",7945,7578,0,367,,,2425,0,,484,4984958,0,,,4984958,,202,229003,207794,0,0,,,,,266355,128981,,0,5213961,0,338299,,,,,0,5326663,0
"2020-11-07","MI","A+",7945,7578,65,367,,,2425,0,,484,4984958,0,,,4984958,,202,229003,207794,6494,0,,,,,266355,128981,,0,5213961,6494,338299,,,,,0,5326663,75350
"2020-11-06","MI","A+",7880,7513,47,367,,,2425,0,,484,4984958,48339,,,4984958,,202,222509,201569,4246,0,,,,,266355,121093,,0,5207467,52585,336396,,,,,0,5251313,115366
"2020-11-05","MI","A+",7833,7470,51,363,,,2280,0,,475,4936619,55103,,,4936619,,194,218263,197806,6103,0,,,,,260736,121093,,0,5154882,61206,333334,,,,,0,5135947,0
"2020-11-04","MI","A+",7782,7419,21,363,,,2215,0,,470,4881516,38789,,,4881516,,199,212160,192096,4397,0,,,,,254431,121093,,0,5093676,43186,333334,,,,,0,5135947,43267
"2020-11-03","MI","A+",7761,7400,45,361,,,2059,0,,444,4842727,38754,,,4842727,,183,207763,187995,3437,0,,,,,249953,121093,,0,5050490,42191,332703,,,,,0,5092680,43252
"2020-11-02","MI","A+",7716,7357,17,359,,,1966,0,,428,4803973,89787,,,4803973,,180,204326,184889,6920,0,,,,,245455,121093,,0,5008299,96707,331012,,,,,0,5049428,96962
"2020-11-01","MI","A+",7699,7340,0,359,,,1728,0,,398,4714186,0,,,4714186,,167,197406,178180,0,0,,,,,238280,121093,,0,4911592,0,329831,,,,,0,4952466,0
"2020-10-31","MI","A+",7699,7340,34,359,,,1728,0,,398,4714186,45491,,,4714186,,167,197406,178180,4018,0,,,,,238280,121093,,0,4911592,49509,329831,,,,,0,4952466,50074
"2020-10-30","MI","A+",7665,7309,12,356,,,1728,0,,398,4668695,58021,,,4668695,,167,193388,174388,3345,0,,,,,233697,114939,,0,4862083,61366,328693,,,,,0,4902392,62103
